sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 17, 2026 02:37:35

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
top:top                                                     	  274(25)	     0(0)	  165(24)	  325(13)	     0(0)	     1(0)	     0(0)	
 +DC_FIFO_inst:DC_FIFO(DATA_WIDTH=8)                        	   92(58)	     0(0)	     0(0)	   58(32)	     0(0)	     1(1)	     0(0)	
  +U1_WrAddrCnt:FifoAddrCnt(CounterWidth_C=7)               	    17(9)	     0(0)	     0(0)	    13(2)	     0(0)	     0(0)	     0(0)	
   +U1_AddrCnt:GrayCnt(CounterWidth_C=7)                    	     8(8)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     0(0)	
  +U2_RdAddrCnt:FifoAddrCnt(CounterWidth_C=7)               	    17(9)	     0(0)	     0(0)	    13(2)	     0(0)	     0(0)	     0(0)	
   +U1_AddrCnt:GrayCnt(CounterWidth_C=7)                    	     8(8)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     0(0)	
 +uart_rx_tx_inst:uart_rx_tx(STOP_BIT_W=1)                  	    70(0)	     0(0)	    15(0)	    78(0)	     0(0)	     0(0)	     0(0)	
  +uart_tx01:uart_tx(BPS_CNT=234,STOP_BIT_W=1)              	   34(34)	     0(0)	   15(15)	   24(24)	     0(0)	     0(0)	     0(0)	
  +uart01_rx:uart_rx(BPS_CNT=234)                           	   36(36)	     0(0)	     0(0)	   54(54)	     0(0)	     0(0)	     0(0)	
 +inst_rst:reset(OUT_RST_ACTIVE="LOW",CYCLE=3)              	     3(3)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
 +u_color_bar_rgb:color_bar_rgb(SYMBOL_WIDTH=8,SYMBOL_NUM=3,PAR_PIXEL_NUM=1,HFP=8'b01111000,HST=8'b010,HACT=12'b011110000000,HBP=8'b01011000,VFP=8'b010100,VST=8'b010,VACT=12'b011000000000,VBP=8'b010100,TEST_MODE=2'b10)	   42(42)	     0(0)	     0(0)	   97(97)	     0(0)	     0(0)	     0(0)	
 +dvi_encoder_m0:dvi_encoder                                	    42(0)	     0(0)	   126(0)	    79(0)	     0(0)	     0(0)	     0(0)	
  +encb:encode                                              	   18(18)	     0(0)	   42(42)	   27(27)	     0(0)	     0(0)	     0(0)	
  +encr:encode                                              	   12(12)	     0(0)	   42(42)	   26(26)	     0(0)	     0(0)	     0(0)	
  +encg:encode                                              	   12(12)	     0(0)	   42(42)	   26(26)	     0(0)	     0(0)	     0(0)	
